product_id,name,brand,category,category_id,price_current,price_ratio,image_url,url
209527222,ASOS DESIGN cotton wide leg pants in brown - part of a set,ASOS DESIGN,Women's Pants,2640,39.99,,https://images.asos-media.com/products/asos-design-cotton-wide-leg-pants-in-brown-part-of-a-set/209527222-1-brown,https://www.asos.comasos-design/asos-design-cotton-wide-leg-pants-in-brown-part-of-a-set/prd/209527222#colourWayId-209527226
207950082,adidas Originals Samba JP sneakers in black and white,adidas Originals,Men's Shoes,4209,100.0,,https://images.asos-media.com/products/adidas-originals-samba-jp-sneakers-in-black-and-white/207950082-1-black,https://www.asos.comadidas-originals/adidas-originals-samba-jp-sneakers-in-black-and-white/prd/207950082#colourWayId-207950083
209272998,AllSaints Vinni loafers in black,AllSaints,Men's Shoes,4209,309.0,,https://images.asos-media.com/products/allsaints-vinni-loafers-in-black/209272998-1-black,https://www.asos.comallsaints/allsaints-vinni-loafers-in-black/prd/209272998#colourWayId-209273010
209281412,Nobody's Child scoop neck long sleeve mini dress in black,Nobody's Child,Women's Dresses,8799,130.0,,https://images.asos-media.com/products/nobodys-child-scoop-neck-long-sleeve-mini-dress-in-black/209281412-1-black,https://www.asos.comnobodys-child/nobodys-child-scoop-neck-long-sleeve-mini-dress-in-black/prd/209281412#colourWayId-209281420
209205196,Topshop deep plunge ruffle maxi gown in red,Topshop,Women's Dresses,8799,149.0,,https://images.asos-media.com/products/topshop-deep-plunge-ruffle-maxi-gown-in-red/209205196-1-red,https://www.asos.comtopshop/topshop-deep-plunge-ruffle-maxi-gown-in-red/prd/209205196#colourWayId-209205206
208815049,ONLY Maternity wide leg jersey pants in black,Only Maternity,Women's Pants,2640,61.0,,https://images.asos-media.com/products/only-maternity-wide-leg-jersey-pants-in-black/208815049-1-black,https://www.asos.comonly-maternity/only-maternity-wide-leg-jersey-pants-in-black/prd/208815049#colourWayId-208815051
208057246,Topshop vintage wash faux shearling aviator bomber jacket in black,Topshop,Women's Coats and Jackets,2641,159.0,,https://images.asos-media.com/products/topshop-vintage-wash-faux-shearling-aviator-bomber-jacket-in-black/208057246-1-black,https://www.asos.comtopshop/topshop-vintage-wash-faux-shearling-aviator-bomber-jacket-in-black/prd/208057246#colourWayId-208057247
209277634,Adore Me Elle swimwear bra in dark red,Adore Me,Women's Swimwear and Beachwear,2238,34.95,,https://images.asos-media.com/products/adore-me-elle-swimwear-bra-in-dark-red/209277634-1-darkred,https://www.asos.comadore-me/adore-me-elle-swimwear-bra-in-dark-red/prd/209277634#colourWayId-209277635
209278687,Adore Me Tatiana swimwear bikini bra in black,Adore Me,Women's Swimwear and Beachwear,2238,44.95,,https://images.asos-media.com/products/adore-me-tatiana-swimwear-bikini-bra-in-black/209278687-1-black,https://www.asos.comadore-me/adore-me-tatiana-swimwear-bikini-bra-in-black/prd/209278687#colourWayId-209278709
209018019,Abercrombie & Fitch mid length contrast collar waxed barn jacket in burgundy,Abercrombie & Fitch,Women's Coats and Jackets,2641,150.0,,https://images.asos-media.com/products/abercrombie-fitch-mid-length-contrast-collar-waxed-barn-jacket-in-burgundy/209018019-1-burgundy,https://www.asos.comabercrombie-fitch/abercrombie-fitch-mid-length-contrast-collar-waxed-barn-jacket-in-burgundy/prd/209018019#colourWayId-209018027
209445940,Topshop denim balloon sleeves jacket in indigo stripes,Topshop,Women's Coats and Jackets,2641,100.0,,https://images.asos-media.com/products/topshop-denim-balloon-sleeves-jacket-in-indigo-stripes/209445940-1-indigo,https://www.asos.comtopshop/topshop-denim-balloon-sleeves-jacket-in-indigo-stripes/prd/209445940#colourWayId-209445948
207695449,ASOS DESIGN Maya mix and match set in white,ASOS DESIGN,Women's Swimwear and Beachwear,2238,38.98,0.9069334574220568,https://images.asos-media.com/products/asos-design-maya-mix-and-match-set-in-white/206803320-2,https://www.asos.comasos-design/asos-design-maya-mix-and-match-set-in-white/grp/207695449#colourWayId-206803322
209225972,Adore Me Marseille swimwear bikini bottoms in animal brown,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-marseille-swimwear-bikini-bottoms-in-animal-brown/209225972-1-animalbrown,https://www.asos.comadore-me/adore-me-marseille-swimwear-bikini-bottoms-in-animal-brown/prd/209225972#colourWayId-209225997
208810050,ASOS DESIGN denim funnel neck jacket in gray - part of a set,ASOS DESIGN,Women's Coats and Jackets,2641,79.99,,https://images.asos-media.com/products/asos-design-denim-funnel-neck-jacket-in-gray-part-of-a-set/208810050-1-grey,https://www.asos.comasos-design/asos-design-denim-funnel-neck-jacket-in-gray-part-of-a-set/prd/208810050#colourWayId-208810059
208633386,ASOS DESIGN Shay polka dot underwire balconette bra in chocolate & cream,ASOS DESIGN,Women's Swimwear and Beachwear,2238,27.99,,https://images.asos-media.com/products/asos-design-shay-polka-dot-underwire-balconette-bra-in-chocolate-cream/208633386-1-choc,https://www.asos.comasos-design/asos-design-shay-polka-dot-lingerie-set-in-chocolate-cream/grp/209555913#colourWayId-208633394&productId-208633386
209279605,Adore Me Bailee swimwear bikini bottom in dark blue,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-bailee-swimwear-bikini-bottom-in-dark-blue/209279605-1-darkblue,https://www.asos.comadore-me/adore-me-bailee-swimwear-bikini-bottom-in-dark-blue/prd/209279605#colourWayId-209279606
208613976,Noisy May Curve faux leather jacket in black,Noisy May Curve,Women's Coats and Jackets,2641,81.0,,https://images.asos-media.com/products/noisy-may-curve-faux-leather-jacket-in-black/208613976-1-black,https://www.asos.comnoisy-may-curve/noisy-may-curve-faux-leather-jacket-in-black/prd/208613976#colourWayId-208613984
209006193,Pieces diamante cowl neck cami mini dress in black,Pieces,Women's Dresses,8799,54.0,,https://images.asos-media.com/products/pieces-diamante-cowl-neck-cami-mini-dress-in-black/209006193-1-black,https://www.asos.compieces/pieces-diamante-cowl-neck-cami-mini-dress-in-black/prd/209006193#colourWayId-209006196
208710560,ASOS LUXE wide leg pants in stone - part of a set,ASOS LUXE,Women's Pants,2640,109.0,,https://images.asos-media.com/products/asos-luxe-wide-leg-pants-in-stone-part-of-a-set/208710560-1-stone,https://www.asos.comasos-luxe/asos-luxe-wide-leg-pants-in-stone-part-of-a-set/prd/208710560#colourWayId-208710593
208549738,Topshop faux suede bomber jacket with snap details in chocolate,Topshop,Women's Coats and Jackets,2641,139.0,,https://images.asos-media.com/products/topshop-faux-suede-bomber-jacket-with-snap-details-in-chocolate/208549738-1-choc,https://www.asos.comtopshop/topshop-faux-suede-bomber-jacket-with-snap-details-in-chocolate/prd/208549738#colourWayId-208549749
209084518,ASOS DESIGN ribbed drape maxi dress in charcoal,ASOS DESIGN,Women's Dresses,8799,64.99,,https://images.asos-media.com/products/asos-design-ribbed-drape-maxi-dress-in-charcoal/209084518-1-charcoal,https://www.asos.comasos-design/asos-design-ribbed-drape-maxi-dress-in-charcoal/prd/209084518#colourWayId-209084519
207950103,adidas Originals Italia 70s sneakers in white and dark green,adidas Originals,Men's Shoes,4209,110.0,,https://images.asos-media.com/products/adidas-originals-italia-70s-sneakers-in-white-and-dark-green/207950103-1-white,https://www.asos.comadidas-originals/adidas-originals-italia-70s-sneakers-in-white-and-dark-green/prd/207950103#colourWayId-207950104
209372266,Weekday boat neck long sleeve mini dress in dark gray - exclusive to ASOS,Weekday,Women's Dresses,8799,68.0,,https://images.asos-media.com/products/weekday-boat-neck-long-sleeve-mini-dress-in-dark-gray-exclusive-to-asos/209372266-1-darkgrey,https://www.asos.comweekday/weekday-boat-neck-long-sleeve-mini-dress-in-dark-gray-exclusive-to-asos/prd/209372266#colourWayId-209372281
209383578,ASOS DESIGN satin wide leg pants in khaki - part of a set,ASOS DESIGN,Women's Pants,2640,49.99,,https://images.asos-media.com/products/asos-design-satin-wide-leg-pants-in-khaki-part-of-a-set/209383578-1-khaki,https://www.asos.comasos-design/asos-design-satin-wide-leg-pants-in-khaki-part-of-a-set/prd/209383578#colourWayId-209383581
209030491,ASOS DESIGN denim funnel neck jacket,ASOS DESIGN,Women's Coats and Jackets,2641,89.99,,https://images.asos-media.com/products/asos-design-denim-funnel-neck-jacket/209030491-1-midblue,https://www.asos.comasos-design/asos-design-denim-funnel-neck-jacket/prd/209030491#colourWayId-209030496
208715074,ONLY oversized contrast pocket fleece in navy,ONLY,Women's Coats and Jackets,2641,81.0,,https://images.asos-media.com/products/only-oversized-contrast-pocket-fleece-in-navy/208715074-1-navy,https://www.asos.comonly/only-oversized-contrast-pocket-fleece-in-navy/prd/208715074#colourWayId-208715084
208896502,ASOS DESIGN Curve corduroy barrel leg pull on pants in burgundy,ASOS DESIGN,Women's Pants,2640,42.99,,https://images.asos-media.com/products/asos-design-curve-corduroy-barrel-leg-pull-on-pants-in-burgundy/208896502-1-burgundy,https://www.asos.comasos-design/asos-design-curve-corduroy-barrel-leg-pull-on-pants-in-burgundy/prd/208896502#colourWayId-208896503
208220236,Miss Selfridge faux leather mid length trench coat in black,Miss Selfridge,Women's Coats and Jackets,2641,109.0,,https://images.asos-media.com/products/miss-selfridge-faux-leather-mid-length-trench-coat-in-black/208220236-1-black,https://www.asos.commiss-selfridge/miss-selfridge-faux-leather-mid-length-trench-coat-in-black/prd/208220236#colourWayId-208220238
209125053,ASOS DESIGN drop waist mini shirt dress with pleated skirt in gray stripe,ASOS DESIGN,Women's Dresses,8799,64.99,,https://images.asos-media.com/products/asos-design-drop-waist-mini-shirt-dress-with-pleated-skirt-in-gray-stripe/209125053-1-brownstripe,https://www.asos.comasos-design/asos-design-drop-waist-mini-shirt-dress-with-pleated-skirt-in-gray-stripe/prd/209125053#colourWayId-209125072
209422610,Vesper bengaline bandeau fold over midaxi dress in red,Vesper,Women's Dresses,8799,111.0,,https://images.asos-media.com/products/vesper-bengaline-bandeau-fold-over-midaxi-dress-in-red/209422610-1-red,https://www.asos.comvesper/vesper-bengaline-bandeau-fold-over-midaxi-dress-in-red/prd/209422610#colourWayId-209422612
208042929,Nike Air Force 1 sneakers in black and white,Nike,Men's Shoes,4209,115.0,,https://images.asos-media.com/products/nike-air-force-1-sneakers-in-black-and-white/208042929-1-black,https://www.asos.comnike/nike-air-force-1-sneakers-in-black-and-white/prd/208042929#colourWayId-208042936
208660676,adidas Originals Samba OG sneakers in dark green snake print,adidas Originals,Men's Shoes,4209,100.0,,https://images.asos-media.com/products/adidas-originals-samba-og-sneakers-in-dark-green-snake-print/208660676-1-darkgreen,https://www.asos.comadidas-originals/adidas-originals-samba-og-sneakers-in-dark-green-snake-print/prd/208660676#colourWayId-208660678
209521838,River Island notch belted wrap coat in black,River Island,Women's Coats and Jackets,2641,148.0,,https://images.asos-media.com/products/river-island-notch-belted-wrap-coat-in-black/209521838-1-black,https://www.asos.comriver-island/river-island-notch-belted-wrap-coat-in-black/prd/209521838#colourWayId-209521839
208541972,ASOS DESIGN throw on overcoat in olive,ASOS DESIGN,Women's Coats and Jackets,2641,64.99,,https://images.asos-media.com/products/asos-design-throw-on-overcoat-in-olive/208541972-1-olive,https://www.asos.comasos-design/asos-design-throw-on-overcoat-in-olive/prd/208541972#colourWayId-208541979
208903800,ASOS DESIGN velvet devore crew neck sleeveless maxi dress in blue and red floral,ASOS DESIGN,Women's Dresses,8799,92.99,,https://images.asos-media.com/products/asos-design-velvet-devore-crew-neck-sleeveless-maxi-dress-in-blue-and-red-floral/208903800-1-blueandredfloral,https://www.asos.comasos-design/asos-design-velvet-devore-crew-neck-sleeveless-maxi-dress-in-blue-and-red-floral/prd/208903800#colourWayId-208903809
209454337,Reclaimed Vintage wide leg pull on pants in brown and green satin stripes,Reclaimed Vintage,Women's Pants,2640,59.99,,https://images.asos-media.com/products/reclaimed-vintage-wide-leg-pull-on-pants-in-brown-and-green-satin-stripes/209454337-1-multi,https://www.asos.comreclaimed-vintage/reclaimed-vintage-wide-leg-pull-on-pants-in-brown-and-green-satin-stripes/prd/209454337#colourWayId-209454348
209465167,TFNC halterneck maxi dress with tie front detail in mustard satin,TFNC,Women's Dresses,8799,120.0,,https://images.asos-media.com/products/tfnc-halterneck-maxi-dress-with-tie-front-detail-in-mustard-satin/209465167-1-mustard,https://www.asos.comtfnc/tfnc-halterneck-maxi-dress-with-tie-front-detail-in-mustard-satin/prd/209465167#colourWayId-209465168
209550454,ASOS DESIGN sleeveless cut-out with hardware side detail maxi dress in burgundy,ASOS DESIGN,Women's Dresses,8799,64.99,,https://images.asos-media.com/products/asos-design-sleeveless-cut-out-with-hardware-side-detail-maxi-dress-in-burgundy/209550454-1-burgundy,https://www.asos.comasos-design/asos-design-sleeveless-cut-out-with-hardware-side-detail-maxi-dress-in-burgundy/prd/209550454#colourWayId-209550458
209092837,Adore Me Lianne swimwear bra in black,Adore Me,Women's Swimwear and Beachwear,2238,49.95,,https://images.asos-media.com/products/adore-me-lianne-swimwear-bra-in-black/209092837-1-black,https://www.asos.comadore-me/adore-me-lianne-swimwear-bra-in-black/prd/209092837#colourWayId-209092838
208604532,River Island faux leather cropped biker jacket in black,River Island,Women's Coats and Jackets,2641,115.0,,https://images.asos-media.com/products/river-island-faux-leather-cropped-biker-jacket-in-black/208604532-1-black,https://www.asos.comriver-island/river-island-faux-leather-cropped-biker-jacket-in-black/prd/208604532#colourWayId-208604537
209059787,Threadbare faux fur shearling vest in pink,Threadbare,Women's Coats and Jackets,2641,51.0,,https://images.asos-media.com/products/threadbare-faux-fur-shearling-vest-in-pink/209059787-1-pink,https://www.asos.comthreadbare/threadbare-faux-fur-shearling-vest-in-pink/prd/209059787#colourWayId-209059789
206817071,ASOS DESIGN Marrakech bikini in multi,ASOS DESIGN,Women's Swimwear and Beachwear,2238,26.69,0.5933748332592264,https://images.asos-media.com/products/asos-design-marrakech-bikini-in-multi/206318108-2,https://www.asos.comasos-design/asos-design-marrakech-bikini-in-multi/grp/206817071#colourWayId-206496596
208966548,schuh Row lace up derby shoes with broguing in leather black,Schuh,Men's Shoes,4209,87.0,,https://images.asos-media.com/products/schuh-row-lace-up-derby-shoes-with-broguing-in-leather-black/208966548-1-blackleather,https://www.asos.comschuh/schuh-row-lace-up-derby-shoes-with-broguing-in-leather-black/prd/208966548#colourWayId-208966553
208952665,ARKET real leather premium formal loafer shoes in black,Arket,Men's Shoes,4209,275.0,,https://images.asos-media.com/products/arket-real-leather-premium-formal-loafer-shoes-in-black/208952665-1-black,https://www.asos.comarket/arket-real-leather-premium-formal-loafer-shoes-in-black/prd/208952665#colourWayId-208952670
208788811,COLLUSION long sleeve ruched mini shirt dress in navy,Collusion,Women's Dresses,8799,56.99,,https://images.asos-media.com/products/collusion-long-sleeve-ruched-mini-shirt-dress-in-navy/208788811-1-navy,https://www.asos.comcollusion/collusion-long-sleeve-ruched-mini-shirt-dress-in-navy/prd/208788811#colourWayId-208788817
22786800,Hollister set ruffle bandeau bikini top in yellow,Hollister,Women's Swimwear and Beachwear,2238,32.95,,https://images.asos-media.com/products/hollister-set-ruffle-bandeau-bikini-top-in-yellow/22786800-1-yellow,https://www.asos.comhollister/hollister-set-ruffle-bandeau-bikini-top-in-yellow/prd/22786800#colourWayId-60426040
209079082,ASOS DESIGN mule clog sandals in taupe with cork sole,ASOS DESIGN,Men's Shoes,4209,42.99,,https://images.asos-media.com/products/asos-design-mule-clog-sandals-in-taupe-with-cork-sole/209079082-1-taupe,https://www.asos.comasos-design/asos-design-mule-clog-sandals-in-taupe-with-cork-sole/prd/209079082#colourWayId-209079090
208660830,adidas Originals Samba OG sneakers with split toe detailing in off white and brown,adidas Originals,Men's Shoes,4209,100.0,,https://images.asos-media.com/products/adidas-originals-samba-og-sneakers-with-split-toe-detailing-in-off-white-and-brown/208660830-1-ivory,https://www.asos.comadidas-originals/adidas-originals-samba-og-sneakers-with-split-toe-detailing-in-off-white-and-brown/prd/208660830#colourWayId-208660834
209372304,Weekday deep halterneck long sleeve mini dress in black -Exclusive to ASOS,Weekday,Women's Dresses,8799,68.0,,https://images.asos-media.com/products/weekday-deep-halterneck-long-sleeve-mini-dress-in-black-exclusive-to-asos/209372304-1-black,https://www.asos.comweekday/weekday-deep-halterneck-long-sleeve-mini-dress-in-black-exclusive-to-asos/prd/209372304#colourWayId-209372306
208898155,ASOS DESIGN Petite tailored cropped pants with tab waist detail in black,ASOS DESIGN,Women's Pants,2640,42.99,,https://images.asos-media.com/products/asos-design-petite-tailored-cropped-pants-with-tab-waist-detail-in-black/208898155-1-black,https://www.asos.comasos-design/asos-design-petite-tailored-cropped-pants-with-tab-waist-detail-in-black/prd/208898155#colourWayId-208898162
208777741,ONLY seamless leggings in chocolate brown - part of a set,ONLY,Women's Pants,2640,40.0,,https://images.asos-media.com/products/only-seamless-leggings-in-chocolate-brown-part-of-a-set/208777741-1-chocloatetorte,https://www.asos.comonly/only-seamless-leggings-in-chocolate-brown-part-of-a-set/prd/208777741#colourWayId-208777743
209278166,Adore Me Margaret swimwear one-piece in black,Adore Me,Women's Swimwear and Beachwear,2238,54.95,,https://images.asos-media.com/products/adore-me-margaret-swimwear-one-piece-in-black/209278166-1-black,https://www.asos.comadore-me/adore-me-margaret-swimwear-one-piece-in-black/prd/209278166#colourWayId-209278186
208883908,ASOS DESIGN chelsea boots in black suede,ASOS DESIGN,Men's Shoes,4209,59.99,,https://images.asos-media.com/products/asos-design-chelsea-boots-in-black-suede/208883908-1-black,https://www.asos.comasos-design/asos-design-chelsea-boots-in-black-suede/prd/208883908#colourWayId-208883909
